id,IDAbility,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,,200770,ab,abbasid,abbasid,ability-camel-support-4,Camel Support,ability,Infantry gain armor when near a camel unit.,ability-camel-support,Camel Support,camel_support_aura_abb,Infantry gain armor when near a camel unit.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,,202653,ab,abbasid,abbasid,ability-camel-unease-1,Camel Unease,ability,Camels cause enemy horse cavalry units to deal 20% less damage.,ability-camel-unease,Camel Unease,mamluke_anti_cavalry_aura_abb,Camels cause enemy horse cavalry units to deal 20% less damage.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,,192685,ab,abbasid,abbasid,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,,2013822,ab,abbasid,abbasid,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,,201563,ab,abbasid,abbasid,ability-golden-age-tier-1-1,Golden Age Tier 1,ability,+15% Resource Gathering Rate,ability-golden-age-tier-1,Golden Age Tier 1,golden_age_tier_1,+15% Resource Gathering Rate,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,,201593,ab,abbasid,abbasid,ability-golden-age-tier-2-1,Golden Age Tier 2,ability,+15% Research Speed,ability-golden-age-tier-2,Golden Age Tier 2,golden_age_tier_2,+15% Research Speed,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,,201595,ab,abbasid,abbasid,ability-golden-age-tier-3-1,Golden Age Tier 3,ability,"+20% Production Speed, additional +5% Research Speed, additional +5% Resource Gathering Rate",ability-golden-age-tier-3,Golden Age Tier 3,golden_age_tier_3,"+20% Production Speed, additional +5% Research Speed, additional +5% Resource Gathering Rate",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,,1838842,ab,abbasid,abbasid,ability-house-of-wisdom-influence-1,House of Wisdom Influence,ability,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",ability-house-of-wisdom-influence,House of Wisdom Influence,how_influence_abb,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,,2101656,ab,abbasid,abbasid,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,,201837,ab,abbasid,abbasid,ability-medical-centers-1,Medical Centers,ability,Heals nearby units for +2 health every 1 second,ability-medical-centers,Medical Centers,medical_centers_abb,Heals nearby units for +2 health every 1 second,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
11,10,,2035316,ab,abbasid,abbasid,ability-proselytize-4,Proselytize,ability,Attempts to convert a single enemy unit within range of this Imam to your control.,ability-proselytize,Proselytize,monk_conversion_faith_abb,Attempts to convert a single enemy unit within range of this Imam to your control.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
12,11,,2133476,ab,abbasid,abbasid,ability-quick-strike-1,Quick Strike,ability,Quickly deals a second hit after finishing an attack.,ability-quick-strike,Quick Strike,ghulam_attack_abb,Quickly deals a second hit after finishing an attack.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
13,12,,2149990,ab,abbasid,abbasid,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
14,13,,192685,ja,japanese,japanese,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
15,14,,2127304,ja,japanese,japanese,ability-deflective-armor-1,Deflective Armor,ability,Deflective Armor charge can block one melee or ranged attack. Recharges while out of combat for 8 seconds.,ability-deflective-armor,Deflective Armor,samurai_shield_jpn,Deflective Armor charge can block one melee or ranged attack. Recharges while out of combat for 8 seconds.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
16,15,,2013822,ja,japanese,japanese,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
17,16,,2158018,ja,japanese,japanese,ability-five-mountain-ministries-1,Five Mountain Ministries,ability,"Every 6 seconds, applies Sohei Sutra to the closest enemy. Sohei Sutra reduces the enemies damage by 50% for 60 seconds.",ability-five-mountain-ministries,Five Mountain Ministries,monk_debuff_target_jpn_five_mountain_version,"Every 6 seconds, applies Sohei Sutra to the closest enemy. Sohei Sutra reduces the enemies damage by 50% for 60 seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
18,17,,2127408,ja,japanese,japanese,ability-kabura-ya-1,Kabura-ya,ability,"Onna-Musha fire a whistling arrow when an enemy is seen, increasing move speed for 10 seconds.",ability-kabura-ya,Kabura-ya,kaburya_arrow_jpn,"Onna-Musha fire a whistling arrow when an enemy is seen, increasing move speed for 10 seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
19,18,,2127069,ja,japanese,japanese,ability-katana-bannerman-aura-1,Katana Bannerman Aura,ability,"Aura that increases melee infantry damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",ability-katana-bannerman-aura,Katana Bannerman Aura,bannerman_aura_melee_jpn,"Aura that increases melee infantry damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
20,19,,2101656,ja,japanese,japanese,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
21,20,,2141548,ja,japanese,japanese,ability-place-yorishiro-1,Place Yorishiro,ability,"Place a Yorishiro in the following buildings to receive bonuses and increase their line of sight.
Military and Docks: +150% Production speed
Town Center: +30% Production speed
Farmhouse: +75 Food per minute
Lumber Camp: +75 Wood per minute
Forge: +60 Gold per minute
Wonder: +4000 Health",ability-place-yorishiro,Place Yorishiro,monk_shinto_deposit_sacred_object_jpn,"Place a Yorishiro in the following buildings to receive bonuses and increase their line of sight.
Military and Docks: +150% Production speed
Town Center: +30% Production speed
Farmhouse: +75 Food per minute
Lumber Camp: +75 Wood per minute
Forge: +60 Gold per minute
Wonder: +4000 Health",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
22,21,,2149990,ja,japanese,japanese,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
23,22,,2127420,ja,japanese,japanese,ability-sabotage-1,Sabotage,ability,"Target a visible enemy building to deal 200 damage, disable its production, and set it on fire for 30 seconds.",ability-sabotage,Sabotage,shinobi_sabotage_jpn,"Target a visible enemy building to deal 200 damage, disable its production, and set it on fire for 30 seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
24,23,,2145411,ja,japanese,japanese,ability-shunshin-1,Shunshin,ability,Drop a smoke bomb and reappear at a selected location.,ability-shunshin,Shunshin,shinobi_blink_jpn,Drop a smoke bomb and reappear at a selected location.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
25,24,,2141302,ja,japanese,japanese,ability-soheis-sutra-1,Sohei's Sutra,ability,Reduces enemy damage by 50% for 60 seconds.,ability-soheis-sutra,Sohei's Sutra,monk_debuff_target_jpn,Reduces enemy damage by 50% for 60 seconds.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
26,25,,2127419,ja,japanese,japanese,ability-spy-1,Spy,ability,Target a visible enemy unit or structure to disguise the Shinobi as a Villager of that player.,ability-spy,Spy,shinobi_spy_jpn,Target a visible enemy unit or structure to disguise the Shinobi as a Villager of that player.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
27,26,,2127492,ja,japanese,japanese,ability-treasure-caravans-1,Treasure Caravans,ability,Select a neutral Trade Post to periodically spawn Treasure Caravans from that location. Caravans can convert into a Trade Ship when instructed to reach Trade Posts over water.,ability-treasure-caravans,Treasure Caravans,treasure_landmark_target_jpn,Select a neutral Trade Post to periodically spawn Treasure Caravans from that location. Caravans can convert into a Trade Ship when instructed to reach Trade Posts over water.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
28,27,,2127073,ja,japanese,japanese,ability-uma-bannerman-aura-1,Uma Bannerman Aura,ability,"Aura that increases cavalry unit damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",ability-uma-bannerman-aura,Uma Bannerman Aura,bannerman_aura_cavalry_jpn,"Aura that increases cavalry unit damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
29,28,,2127067,ja,japanese,japanese,ability-yumi-bannerman-aura-1,Yumi Bannerman Aura,ability,"Aura that increases ranged infantry damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",ability-yumi-bannerman-aura,Yumi Bannerman Aura,bannerman_aura_range_jpn,"Aura that increases ranged infantry damage by +15%.
Banner drops on death and lasts for 30 seconds providing the same aura.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
30,29,,2144843,ay,ayyubids,abbasid_ha_01,ability-atabeg-supervision-1,Atabeg Supervision,ability,Garrison inside of a military production building to grant +20% health to newly trained units. Cannot garrison in Docks.,ability-atabeg-supervision,Atabeg Supervision,production_building_enhance_abb,Garrison inside of a military production building to grant +20% health to newly trained units. Cannot garrison in Docks.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
31,30,,202653,ay,ayyubids,abbasid_ha_01,ability-camel-unease-1,Camel Unease,ability,Camels cause enemy horse cavalry units to deal 20% less damage.,ability-camel-unease,Camel Unease,mamluke_anti_cavalry_aura_abb,Camels cause enemy horse cavalry units to deal 20% less damage.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
32,31,,192685,ay,ayyubids,abbasid_ha_01,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
33,32,,2138338,ay,ayyubids,abbasid_ha_01,ability-desert-raider-blade-1,Desert Raider Blade,ability,Swap to a melee Sword weapon.,ability-desert-raider-blade,Desert Raider Blade,mamluk_swap_to_sword_weapon,Swap to a melee Sword weapon.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
34,33,,2138337,ay,ayyubids,abbasid_ha_01,ability-desert-raider-bow-1,Desert Raider Bow,ability,Swap to a ranged Bow weapon.,ability-desert-raider-bow,Desert Raider Bow,mamluk_swap_to_bow_weapon,Swap to a ranged Bow weapon.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
35,34,,2013822,ay,ayyubids,abbasid_ha_01,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
36,35,,2146738,ay,ayyubids,abbasid_ha_01,ability-golden-age-tier-1-1,Golden Age Tier 1,ability,10 Structures: Villager gathering rate +10% for all resources.,ability-golden-age-tier-1,Golden Age Tier 1,golden_age_tier_1_ha_01,10 Structures: Villager gathering rate +10% for all resources.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
37,36,,2146739,ay,ayyubids,abbasid_ha_01,ability-golden-age-tier-2-2,Golden Age Tier 2,ability,20 Structures: Research Speeds +50%,ability-golden-age-tier-2,Golden Age Tier 2,golden_age_tier_2_ha_01,20 Structures: Research Speeds +50%,2,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
38,37,,2146740,ay,ayyubids,abbasid_ha_01,ability-golden-age-tier-3-3,Golden Age Tier 3,ability,30 Structures: Production Speeds +20%,ability-golden-age-tier-3,Golden Age Tier 3,golden_age_tier_3_ha_01,30 Structures: Production Speeds +20%,3,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
39,38,,2146741,ay,ayyubids,abbasid_ha_01,ability-golden-age-tier-4-4,Golden Age Tier 4,ability,50 Structures: Siege units cost 20% less resources to produce.,ability-golden-age-tier-4,Golden Age Tier 4,golden_age_tier_4_ha_01,50 Structures: Siege units cost 20% less resources to produce.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
40,39,,2146742,ay,ayyubids,abbasid_ha_01,ability-golden-age-tier-5-5,Golden Age Tier 5,ability,75 Structures: Camel units attack 20% faster.,ability-golden-age-tier-5,Golden Age Tier 5,golden_age_tier_5_ha_01,75 Structures: Camel units attack 20% faster.,5,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
41,40,,1838842,ay,ayyubids,abbasid_ha_01,ability-house-of-wisdom-influence-1,House of Wisdom Influence,ability,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",ability-house-of-wisdom-influence,House of Wisdom Influence,how_influence_abb,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
42,41,,2101656,ay,ayyubids,abbasid_ha_01,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
43,42,,2126592,ay,ayyubids,abbasid_ha_01,ability-mass-heal-1,Mass Heal,ability,Heals all nearby units. Heals +50% times faster when carrying a relic.,ability-mass-heal,Mass Heal,monk_aoe_heal,Heals all nearby units. Heals +50% times faster when carrying a relic.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
44,43,,2133476,ay,ayyubids,abbasid_ha_01,ability-quick-strike-1,Quick Strike,ability,Quickly deals a second hit after finishing an attack.,ability-quick-strike,Quick Strike,ghulam_attack_abb,Quickly deals a second hit after finishing an attack.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
45,44,,2149990,ay,ayyubids,abbasid_ha_01,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
46,45,,2141405,ay,ayyubids,abbasid_ha_01,ability-structural-reinforcements-1,Structural Reinforcements,ability,"Siege unit gains +20 melee armor and +5 fire armor for 10 seconds.
Costs 50 Wood to activate, only useable on one unit at a time.",ability-structural-reinforcements,Structural Reinforcements,siege_carpentry_abb_ha_01,"Siege unit gains +20 melee armor and +5 fire armor for 10 seconds.
Costs 50 Wood to activate, only useable on one unit at a time.",1,,0.0,0.0,50.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
47,46,,2138274,ay,ayyubids,abbasid_ha_01,ability-swap-weapon-incendiary-1,Swap Weapon (Incendiary),ability,"Switch to incendiary ammunition, which deals damage in an increased area.",ability-swap-weapon-incendiary,Swap Weapon (Incendiary),mangonel_swap_to_incendiary_weapon,"Switch to incendiary ammunition, which deals damage in an increased area.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
48,47,,2138275,ay,ayyubids,abbasid_ha_01,ability-swap-weapon-kinetic-1,Swap Weapon (Kinetic),ability,"Switch to solid ammunition, which deals higher damage.",ability-swap-weapon-kinetic,Swap Weapon (Kinetic),mangonel_swap_to_kinetic_weapon,"Switch to solid ammunition, which deals higher damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
49,48,,2126336,ay,ayyubids,abbasid_ha_01,ability-tactical-charge-1,Tactical Charge,ability,"Camel Lancers charge faster, more often, and for longer distances than other heavy cavalry. Camel Lancers deals -25% less baseline charge damage. Each second spent charging increases the charge damage (up to +40%).",ability-tactical-charge,Tactical Charge,camel_knight_charge_damage,"Camel Lancers charge faster, more often, and for longer distances than other heavy cavalry. Camel Lancers deals -25% less baseline charge damage. Each second spent charging increases the charge damage (up to +40%).",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
50,49,,2146135,by,byzantines,byzantine,ability-akritoi-defense-1,Akritoi Defense,ability,"Arm nearby Villagers with stronger weapons and increase their armor by +2 for 30 seconds.
+1 damage in Dark Age
+1 damage in Feudal Age
+1 damage in Castle Age
+2 damage in Imperial Age",ability-akritoi-defense,Akritoi Defense,landmark_activate_akritoi_byz,"Arm nearby Villagers with stronger weapons and increase their armor by +2 for 30 seconds.
+1 damage in Dark Age
+1 damage in Feudal Age
+1 damage in Castle Age
+2 damage in Imperial Age",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
51,50,,2122116,by,byzantines,byzantine,ability-artillery-shot-1,Artillery Shot,ability,"Loads this Cannon with an Artillery Shot that has an increased range of 5 tiles and 30% more damage.
Can only target buildings.",ability-artillery-shot,Artillery Shot,cannon_swap_fre,"Loads this Cannon with an Artillery Shot that has an increased range of 5 tiles and 30% more damage.
Can only target buildings.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
52,51,,2146130,by,byzantines,byzantine,ability-automatic-pilgrim-flask-1,Automatic Pilgrim Flask,ability,"Toggle on to activate automatic drinking when low health, rapidly increasing health regeneration by 25 per second for 6 seconds.",ability-automatic-pilgrim-flask,Automatic Pilgrim Flask,landmark_toggle_automatic_flask_byz,"Toggle on to activate automatic drinking when low health, rapidly increasing health regeneration by 25 per second for 6 seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
