id,IDAbility,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
53,52,,2104590,by,byzantines,byzantine,ability-berserking-1,Berserking,ability,Varangian Guard swap to their two-handed weapon and deal +6 damage for 30 seconds. Armor is reduced by -4.,ability-berserking,Berserking,varangian_berserk_byz,Varangian Guard swap to their two-handed weapon and deal +6 damage for 30 seconds. Armor is reduced by -4.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
54,53,,2140943,by,byzantines,byzantine,ability-border-settlement-1,Border Settlement,ability,Line of sight increased by 7 tiles.,ability-border-settlement,Border Settlement,border_settlement_byz,Line of sight increased by 7 tiles.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
55,54,,2146132,by,byzantines,byzantine,ability-conscriptio-2,Conscriptio,ability,Military unit production rate increased +20%/+40%/+60%/+80%/+100% by Water Level while within the influence of a Cistern.,ability-conscriptio,Conscriptio,toggle_landmark_cistern_influence_2_byz,Military unit production rate increased +20%/+40%/+60%/+80%/+100% by Water Level while within the influence of a Cistern.,2,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
56,55,,192685,by,byzantines,byzantine,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
57,56,,2013822,by,byzantines,byzantine,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
58,57,,2146133,by,byzantines,byzantine,ability-dialecticus-3,Dialecticus,ability,Research rate increased +30%/+60%/+90%/+120%/+150% by Water Level while within the influence of a Cistern.,ability-dialecticus,Dialecticus,toggle_landmark_cistern_influence_3_byz,Research rate increased +30%/+60%/+90%/+120%/+150% by Water Level while within the influence of a Cistern.,3,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
59,58,,2121939,by,byzantines,byzantine,ability-emperors-guard-1,Emperor's Guard,ability,Armor increased by +3 while near allied Wonders.,ability-emperors-guard,Emperor's Guard,varangian_landmark_armor_aura_byz,Armor increased by +3 while near allied Wonders.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
60,59,,2145743,by,byzantines,byzantine,ability-field-stones-1,Field Stones,ability,Earn various amounts of Stone from every building constructed.,ability-field-stones,Field Stones,field_stone_buff_info_byz,Earn various amounts of Stone from every building constructed.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
61,60,,2121987,by,byzantines,byzantine,ability-improved-torch-1,Improved Torch,ability,Torch damage improved by a nearby Scout.,ability-improved-torch,Improved Torch,hippodrome_scout_torch_byz,Torch damage improved by a nearby Scout.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
62,61,,2128567,by,byzantines,byzantine,ability-irrigated-1,Irrigated,ability,Villager gathering rate increased by 5/10/15/20/25% (depening on water level),ability-irrigated,Irrigated,cistern_influence_gathering_bonus_1_byz,Villager gathering rate increased by 5/10/15/20/25% (depening on water level),1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
63,62,,2101656,by,byzantines,byzantine,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
64,63,,2146720,by,byzantines,byzantine,ability-naval-deployment-1,Naval Deployment,ability,Increased movement speed after unloading from a Transport Ship.,ability-naval-deployment,Naval Deployment,naval_transport_movespeed_unload_byz,Increased movement speed after unloading from a Transport Ship.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
65,64,,2146205,by,byzantines,byzantine,ability-oil-commerce-1,Oil Commerce,ability,Traders provide +20% Olive Oil on trades.,ability-oil-commerce,Oil Commerce,oil_villager_fish_dropoff_byz,Traders provide +20% Olive Oil on trades.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
66,65,,2146200,by,byzantines,byzantine,ability-olive-harvest-1,Olive Harvest,ability,Villagers generate Olive Oil equal to 20% of Food gathered when farming.,ability-olive-harvest,Olive Harvest,oil_farm_dropoff_byz,Villagers generate Olive Oil equal to 20% of Food gathered when farming.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
67,66,,2144175,by,byzantines,byzantine,ability-pilgrim-flask-1,Pilgrim Flask,ability,"Activate to drink, rapidly increasing health regeneration by 25 per second for 6 seconds.",ability-pilgrim-flask,Pilgrim Flask,pilgrim_flask_byz,"Activate to drink, rapidly increasing health regeneration by 25 per second for 6 seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
68,67,,2025568,by,byzantines,byzantine,ability-place-palings-1,Place Palings,ability,Enemy cavalry are stunned for 2.5 seconds and take 25 damage.,ability-place-palings,Place Palings,deploy_palings,Enemy cavalry are stunned for 2.5 seconds and take 25 damage.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
69,68,,2146134,by,byzantines,byzantine,ability-praesidium-4,Praesidium,ability,Building damage taken decreased by -5%/-10%/-15%/-20%/-25% by Water Level while within the influence of a Cistern.,ability-praesidium,Praesidium,toggle_landmark_cistern_influence_4_byz,Building damage taken decreased by -5%/-10%/-15%/-20%/-25% by Water Level while within the influence of a Cistern.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
70,69,,2149990,by,byzantines,byzantine,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
71,70,,2032837,by,byzantines,byzantine,ability-royal-knight-charge-damage-2,Royal Knight Charge Damage,ability,Gain +3 melee attack damage for 5 seconds after charging.,ability-royal-knight-charge-damage,Royal Knight Charge Damage,lancer_charge_bonus_damage,Gain +3 melee attack damage for 5 seconds after charging.,2,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
72,71,,2141378,by,byzantines,byzantine,ability-shield-wall-1,Shield Wall,ability,"Enter a defensive stance, decreasing move speed by -25%, attack speed by -25%, and ranged damage taken by -30%.",ability-shield-wall,Shield Wall,toggle_spearman_shield_wall_on_byz,"Enter a defensive stance, decreasing move speed by -25%, attack speed by -25%, and ranged damage taken by -30%.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
73,72,,2129926,by,byzantines,byzantine,ability-synergistic-crops-1,Synergistic Crops,ability,Farmers and Foragers generate +60% Olive Oil around the Grand Winery.,ability-synergistic-crops,Synergistic Crops,winery_food_dropoff_imp_byz,Farmers and Foragers generate +60% Olive Oil around the Grand Winery.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
74,73,,2133600,by,byzantines,byzantine,ability-trample-1,Trample,ability,"Charge through enemy units in your path, dealing 12 damage to each one.",ability-trample,Trample,cataphract_trample_byz,"Charge through enemy units in your path, dealing 12 damage to each one.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
75,74,,2138249,by,byzantines,byzantine,ability-triumph-1,Triumph,ability,"Consume all Supply Points to increase cavalry damage by +4, move speed by +10%, and health regeneration by +2. 
Each Supply Point increases Triumph's duration by 1 seconds. A maximum of 45 Supply Points can be collected.",ability-triumph,Triumph,hippodrome_triumph_byz,"Consume all Supply Points to increase cavalry damage by +4, move speed by +10%, and health regeneration by +2. 
Each Supply Point increases Triumph's duration by 1 seconds. A maximum of 45 Supply Points can be collected.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
76,75,,2105290,by,byzantines,byzantine,ability-varangian-berserking-1,Varangian Berserking,ability,Damage increased by +6 and armor decreased by -4.,ability-varangian-berserking,Varangian Berserking,varangian_berserking_byz,Damage increased by +6 and armor decreased by -4.,1,,,,,,,,,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
77,76,,192685,ch,chinese,chinese,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
78,77,,2013822,ch,chinese,chinese,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
79,78,,182388,ch,chinese,chinese,ability-extra-materials-1,Extra Materials,ability,Towers and Keeps repair nearby walls and gates for +20 health per second.,ability-extra-materials,Extra Materials,tower_repair_nearby_walls_chi,Towers and Keeps repair nearby walls and gates for +20 health per second.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
80,79,,206838,ch,chinese,chinese,ability-imperial-spies-3,Imperial Spies,ability,Reveal location of enemy workers for 15 seconds.,ability-imperial-spies,Imperial Spies,imperial_spies,Reveal location of enemy workers for 15 seconds.,3,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
81,80,,2101656,ch,chinese,chinese,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
82,81,,2149990,ch,chinese,chinese,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
83,82,,207131,ch,chinese,chinese,ability-spirit-way-4,Spirit Way Ancestors,ability,"When a dynasty unit is killed, nearby units receive +20% attack speed and +20 health over 10 seconds.",ability-spirit-way,Spirit Way Ancestors,spirit_way,"When a dynasty unit is killed, nearby units receive +20% attack speed and +20 health over 10 seconds.",4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
84,83,,2076747,ch,chinese,chinese,ability-the-long-wall-4,The Long Wall,ability,All units standing on Walls gain +25% ranged damage.,ability-the-long-wall,The Long Wall,great_wall_buff_chi,All units standing on Walls gain +25% ranged damage.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
85,84,,192685,de,delhi,sultanate,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
86,85,,2013822,de,delhi,sultanate,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
87,86,,180772,de,delhi,sultanate,ability-forced-march-3,Forced March,ability,"Activate to move 100% faster for 10 seconds, deactivates early when dealing damage.",ability-forced-march,Forced March,infantry_forced_march_sul,"Activate to move 100% faster for 10 seconds, deactivates early when dealing damage.",3,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
88,87,,2101656,de,delhi,sultanate,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
89,88,,2149990,de,delhi,sultanate,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
90,89,,200847,de,delhi,sultanate,ability-tower-of-victory-aura-2,Tower of Victory Aura,ability,Melee and ranged infantry who move near this Landmark permanently gain +20% attack speed.,ability-tower-of-victory-aura,Tower of Victory Aura,tower_of_victory_aura_sul,Melee and ranged infantry who move near this Landmark permanently gain +20% attack speed.,2,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
91,90,,202453,en,english,english,ability-abbey-healing-2,Abbey Healing,ability,Heals nearby out of combat units by 6 every 1 seconds.,ability-abbey-healing,Abbey Healing,abbey_of_kings_heal_aura_eng,Heals nearby out of combat units by 6 every 1 seconds.,2,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
92,91,,178834,en,english,english,ability-arrow-volley-4,Arrow Volley,ability,Reduce Longbowman's time to attack by +1 second for a duration of 6 seconds.,ability-arrow-volley,Arrow Volley,longbow_rate_of_fire_ability,Reduce Longbowman's time to attack by +1 second for a duration of 6 seconds.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
93,92,,192685,en,english,english,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
94,93,,2013822,en,english,english,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
95,94,,2101656,en,english,english,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
96,95,,1451854,en,english,english,ability-mill-influence-1,Mill Influence,ability,Farm harvest rate increased +15%/+20%/+25%/+30% by Age while within the influence of a Mill.,ability-mill-influence,Mill Influence,mill_influence_eng,Farm harvest rate increased +15%/+20%/+25%/+30% by Age while within the influence of a Mill.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
97,96,,168608,en,english,english,ability-network-of-castles-1,Network of Castles,ability,"When enemies are nearby, this building sounds an alarm, causing nearby units to get a +20% increase to attack speed.",ability-network-of-castles,Network of Castles,tower_outpost_alert_aura_eng,"When enemies are nearby, this building sounds an alarm, causing nearby units to get a +20% increase to attack speed.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
98,97,,2160807,en,english,english,ability-network-of-citadels-1,Network of Citadels,ability,"When enemies are nearby, this building sounds an alarm, causing nearby units to get a +40% increase to attack speed.",ability-network-of-citadels,Network of Citadels,network_of_citadels_eng,"When enemies are nearby, this building sounds an alarm, causing nearby units to get a +40% increase to attack speed.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
99,98,,2025568,en,english,english,ability-place-palings-1,Place Palings,ability,Enemy cavalry are stunned for 2.5 seconds and take 25 damage.,ability-place-palings,Place Palings,deploy_palings,Enemy cavalry are stunned for 2.5 seconds and take 25 damage.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
100,99,,2149990,en,english,english,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
101,100,,2133269,en,english,english,ability-setup-camp-1,Setup Camp,ability,"Place a Campfire which increases sight range of nearby units by 30%.
A maximum of 5 Campfires can be lit at any one time. Placing an additional Campfire extinguishes an older one.",ability-setup-camp,Setup Camp,deploy_campfire_eng,"Place a Campfire which increases sight range of nearby units by 30%.
A maximum of 5 Campfires can be lit at any one time. Placing an additional Campfire extinguishes an older one.",1,,0.0,0.0,25.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
102,101,,2122116,fr,french,french,ability-artillery-shot-1,Artillery Shot,ability,"Loads this Cannon with an Artillery Shot that has an increased range of 5 tiles and 30% more damage.
Can only target buildings.",ability-artillery-shot,Artillery Shot,cannon_swap_fre,"Loads this Cannon with an Artillery Shot that has an increased range of 5 tiles and 30% more damage.
Can only target buildings.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
103,102,,192685,fr,french,french,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
104,103,,212030,fr,french,french,ability-deploy-pavise-3,Deploy Pavise,ability,"Activate to increase weapon range by +1 tile and gain +5 ranged armor.
Remains active for 30 seconds or until the Arbalétrier moves away.",ability-deploy-pavise,Deploy Pavise,deploy_pavise_fre,"Activate to increase weapon range by +1 tile and gain +5 ranged armor.
Remains active for 30 seconds or until the Arbalétrier moves away.",3,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
105,104,,2013822,fr,french,french,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
106,105,,2101656,fr,french,french,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
107,106,,2149990,fr,french,french,ability-ring-the-town-bell-1,Ring the Town Bell,ability,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,ability-ring-the-town-bell,Ring the Town Bell,town_center_town_bell,Alerts and orders all nearby Villagers to automatically seek shelter in the nearest garrisonable building.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
108,107,,1452233,fr,french,french,ability-royal-institute-influence-1,Royal Institute Influence,ability,Archery Ranges and Stables within influence have unit costs decreased by 20%.,ability-royal-institute-influence,Royal Institute Influence,keep_influence_fre,Archery Ranges and Stables within influence have unit costs decreased by 20%.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
